,movie_id,title,tags
10,1452,Superman Returns,"superman return to discov hi 5-year absenc ha allow lex luthor to walk free, and that those he wa closest too felt abandon and have move on. luthor plot hi ultim reveng that could see million kill and chang the face of the planet forever, as well as rid himself of the man of steel. adventur fantasi action scienc fiction save the world dc comic invulner sequel superhero base on comic book kryptonit super power superhuman strength lex luthor brandon routh kevin spacey kate bosworth bryan singer"
11,10764,Quantum of Solace,"quantum of solac continu the adventur of jame bond after casino royale. betray by vesper, the woman he loved, 007 fight the urg to make hi latest mission personal. pursu hi determin to uncov the truth, bond and m interrog mr. white, who reveal that the organ that blackmail vesper is far more complex and danger than anyon had imagined. adventur action thriller crime kill undercov secret agent british secret servic daniel craig olga kurylenko mathieu amalr marc forster"
12,58,Pirates of the Caribbean: Dead Man's Chest,"captain jack sparrow work hi way out of a blood debt with the ghostli davey jones, he also attempt to avoid etern damnation. adventur fantasi action witch fortun teller bondag exot island monster captain card game east india trade compani compass ship daughter pirat swashbuckl aftercreditssting johnni depp orlando bloom keira knightley gore verbinski"
13,57201,The Lone Ranger,"the texa ranger chase down a gang of outlaw led by butch cavendish, but the gang ambush the rangers, seemingli kill them all. one survivor is found, however, by an american indian name tonto, who nurs him back to health. the ranger, don a mask and ride a white stallion name silver, team up with tonto to bring the unscrupul gang and other of that ilk to justice. action adventur western texa hors survivor texa ranger partner outlaw escap lawyer train lone ranger comanch the lone ranger tonto johnni depp armi hammer william fichtner gore verbinski"
14,49521,Man of Steel,"a young boy learn that he ha extraordinari power and is not of thi earth. as a young man, he journey to discov where he came from and what he wa sent here to do. but the hero in him must emerg if he is to save the world from annihil and becom the symbol of hope for all mankind. action adventur fantasi scienc fiction save the world dc comic superhero base on comic book superhuman alien invas reboot super power dc extend univers henri cavil ami adam michael shannon zack snyder"
15,2454,The Chronicles of Narnia: Prince Caspian,"one year after their incred adventur in the lion, the witch and the wardrobe, peter, edmund, luci and susan pevensi return to narnia to aid a young princ whose life ha been threaten by the evil king miraz. now, with the help of a color cast of new characters, includ trufflehunt the badger and nikabrik the dwarf, the pevensi clan embark on an incred quest to ensur that narnia is return to it right heir. adventur famili fantasi base on novel fiction place brother sister relationship lion human be wretch leap in time matter of life and death faith uncl narnia fantasi world ben barn william moseley anna popplewel andrew adamson"
16,24428,The Avengers,"when an unexpect enemi emerg and threaten global safeti and security, nick fury, director of the intern peacekeep agenc known as s.h.i.e.l.d., find himself in need of a team to pull the world back from the brink of disaster. span the globe, a dare recruit effort begins! scienc fiction action adventur new york shield marvel comic superhero base on comic book alien invas superhero team aftercreditssting duringcreditssting marvel cinemat univers robert downey jr. chri evan mark ruffalo joss whedon"
17,1865,Pirates of the Caribbean: On Stranger Tides,"captain jack sparrow cross path with a woman from hi past, and he' not sure if it' love -- or if she' a ruthless con artist who' use him to find the fabl fountain of youth. when she forc him aboard the queen anne' revenge, the ship of the formid pirat blackbeard, jack find himself on an unexpect adventur in which he doesn't know who to fear more: blackbeard or the woman from hi past. adventur action fantasi sea captain mutini sword prime minist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d johnni depp penélop cruz ian mcshane rob marshal"
18,41154,Men in Black 3,"agent j (will smith) and k (tommi lee jones) are back...in time. j ha seen some inexplic thing in hi 15 year with the men in black, but nothing, not even aliens, perplex him as much as hi wry, retic partner. but when k' life and the fate of the planet are put at stake, agent j will have to travel back in time to put thing right. j discov that there are secret to the univers that k never told him - secret that will reveal themselv as he team up with the young agent k (josh brolin) to save hi partner, the agency, and the futur of humankind. action comedi scienc fiction time travel time machin alien fiction govern agenc see the futur chang histori will smith tommi lee jone josh brolin barri sonnenfeld"
19,122917,The Hobbit: The Battle of the Five Armies,"immedi after the event of the desol of smaug, bilbo and the dwarv tri to defend erebor' mountain of treasur from other who claim it: the men of the ruin laketown and the elv of mirkwood. meanwhil an armi of orc led by azog the defil is march on erebor, fuel by the rise of the dark lord sauron. dwarves, elv and men must unite, and the hope for middle-earth fall into bilbo' hands. action adventur fantasi corrupt elv dwarv orc middle-earth (tolkien) hobbit dragon battl unlik friendship epic battl sword and sorceri martin freeman ian mckellen richard armitag peter jackson"
20,1930,The Amazing Spider-Man,"peter parker is an outcast high schooler abandon by hi parent as a boy, leav him to be rais by hi uncl ben and aunt may. like most teenagers, peter is tri to figur out who he is and how he got to be the person he is today. as peter discov a mysteri briefcas that belong to hi father, he begin a quest to understand hi parents' disappear – lead him directli to oscorp and the lab of dr. curt connors, hi father' former partner. as spider-man is set on a collis cours with connors' alter ego, the lizard, peter will make life-alt choic to use hi power and shape hi destini to becom a hero. action adventur fantasi loss of father vigilant serum marvel comic scientif experi spider bite mask vigilant reboot super power genet engin social outcast duringcreditssting andrew garfield emma stone rhi ifan marc webb"
21,20662,Robin Hood,"when soldier robin happen upon the die robert of loxley, he promis to return the man' sword to hi famili in nottingham. there, he assum robert' identity; romanc hi widow, marion; and draw the ire of the town' sheriff and king john' henchman, godfrey. action adventur robin hood archer knight sherwood forest bow and arrow middl age mediev king of england russel crow cate blanchett max von sydow ridley scott"
22,57158,The Hobbit: The Desolation of Smaug,"the dwarves, bilbo and gandalf have success escap the misti mountains, and bilbo ha gain the one ring. they all continu their journey to get their gold back from the dragon, smaug. adventur fantasi elv dwarv orc hobbit dragon wizard sword and sorceri martin freeman ian mckellen richard armitag peter jackson"
23,2268,The Golden Compass,"after overhear a shock secret, precoci orphan lyra belacqua trade her carefre exist roam the hall of jordan colleg for an otherworldli adventur in the far north, unawar that it' part of her destiny. adventur fantasi england compass experi lordship uncl polar bear orphan anim base on young adult novel dakota blue richard nicol kidman daniel craig chri weitz"
24,254,King Kong,"in 1933 new york, an overli ambiti movi produc coerc hi cast and hire ship crew to travel to mysteri skull island, where they encount kong, a giant ape who is immedi smitten with the lead lady. adventur drama action film busi screenplay show busi film make film produc exot island monster indigen ship dinosaur naomi watt jack black adrien brodi peter jackson"
25,597,Titanic,"84 year later, a 101-year-old woman name rose dewitt bukat tell the stori to her granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell and anatoli mikailavich on the keldysh about her life set in april 10th 1912, on a ship call titan when young rose board the depart ship with the upper-class passeng and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist name jack dawson and hi best friend fabrizio de rossi win third-class ticket to the ship in a game. and she explain the whole stori from departur until the death of titan on it first and last voyag april 15th, 1912 at 2:20 in the morning. drama romanc thriller shipwreck iceberg ship panic titan ocean liner epic rich woman - poor man love disast tragic love class differ imax star cross lover steerag salvag rich snob 3d 1910 kate winslet leonardo dicaprio franc fisher jame cameron"
26,271110,Captain America: Civil War,"follow the event of age of ultron, the collect govern of the world pass an act design to regul all superhuman activity. thi polar opinion amongst the avengers, caus two faction to side with iron man or captain america, which caus an epic battl between former allies. adventur action scienc fiction civil war war marvel comic sequel superhero base on comic book imax aftercreditssting duringcreditssting marvel cinemat univers 3d chri evan robert downey jr. scarlett johansson anthoni russo"
27,44833,Battleship,"when mankind beam a radio signal into space, a repli come from ‘planet g’, in the form of sever alien craft that splash down in the water off hawaii. lieuten alex hopper is a weapon offic assign to the uss john paul jones, part of an intern naval coalit which becom the world' last hope for surviv as they engag the hostil alien forc of unimagin strength. while take on the invaders, hopper must also tri to live up to the potenti hi brother, and hi fiancée' father, admir shane, expect of him. thriller action adventur scienc fiction fight u.s. navi mind read hong kong soccer scientist fiction war naval armada battleship naval combat jd myoko lost commun taser buoy commun expert joint chief of staff crash land jet fighter pilot navi lieuten permiss to marri uss john paul jone base on board game aftercreditssting mighti mo uss missouri taylor kitsch alexand skarsgård rihanna peter berg"
28,135397,Jurassic World,"twenty-two year after the event of jurass park, isla nublar now featur a fulli function dinosaur theme park, jurass world, as origin envis by john hammond. action adventur scienc fiction thriller monster dna tyrannosauru rex velociraptor island sequel suspens disast escap dinosaur amus park anim attack theme park jurass park 3d anim horror chri pratt bryce dalla howard irrfan khan colin trevorrow"
29,37724,Skyfall,"when bond' latest assign goe grave wrong and agent around the world are exposed, mi6 is attack forc m to reloc the agency. these event caus her author and posit to be challeng by gareth mallory, the new chairman of the intellig and secur committee. with mi6 now compromis from both insid and out, m is left with one alli she can trust: bond. 007 take to the shadow - aid onli by field agent, eve - follow a trail to the mysteri silva, whose lethal and hidden motiv have yet to reveal themselves. action adventur thriller spi secret agent sociopath killer art galleri british secret servic istanbul turkey imax uzi boobi trap imperson a polic offic macao daniel craig judi dench javier bardem sam mend"
30,558,Spider-Man 2,"peter parker is go through a major ident crisis. burn out from be spider-man, he decid to shelv hi superhero alter ego, which leav the citi suffer in the wake of carnag left by the evil doc ock. in the meantime, parker still can't act on hi feel for mari jane watson, a girl he' love sinc childhood. action adventur fantasi dual ident love of one' life pizza boy marvel comic sequel superhero doctor scientist tentacl death super villain tobey maguir kirsten dunst jame franco sam raimi"
31,68721,Iron Man 3,"when toni stark' world is torn apart by a formid terrorist call the mandarin, he start an odyssey of rebuild and retribution. action adventur scienc fiction terrorist war on terror tennesse malibu marvel comic superhero base on comic book toni stark iron man aftercreditssting marvel cinemat univers mandarin 3d war machin iron patriot extremi robert downey jr. gwyneth paltrow don cheadl shane black"
32,12155,Alice in Wonderland,"alice, an unpretenti and individu 19-year-old, is betroth to a dunc of an english nobleman. at her engag party, she escap the crowd to consid whether to go through with the marriag and fall down a hole in the garden after spot an unusu rabbit. arriv in a strang and surreal place call 'underland,' she find herself in a world that resembl the nightmar she had as a child, fill with talk animals, villain queen and knights, and frumiou bandersnatches. alic realiz that she is there for a reason – to conquer the horrif jabberwocki and restor the right queen to her throne. famili fantasi adventur base on novel fiction place queen fantasi alic in wonderland fantasi world 3d mia wasikowska johnni depp ann hathaway tim burton"
33,36668,X-Men: The Last Stand,"when a cure is found to treat mutations, line are drawn amongst the x-men and the brotherhood, a band of power mutant organ under xavier' former ally, magneto. adventur action scienc fiction thriller mutant marvel comic base on comic book superhuman beast cyclop aftercreditssting hugh jackman hall berri ian mckellen brett ratner"
34,62211,Monsters University,a look at the relationship between mike and sulley dure their day at monster univers — when they weren't necessarili the best of friends. anim famili monster dormitori game anim best friend univers scari aftercreditssting billi crystal john goodman steve buscemi dan scanlon
35,8373,Transformers: Revenge of the Fallen,"sam witwicki leav the autobot behind for a normal life. but when hi mind is fill with cryptic symbols, the decepticon target him and he is drag back into the transformers' war. scienc fiction action adventur egypt sun chao symbol artifact transform tank robot imax duringcreditssting shia labeouf megan fox josh duhamel michael bay"
36,91314,Transformers: Age of Extinction,"as human pick up the pieces, follow the conclus of ""transformers: dark of the moon,"" autobot and decepticon have all but vanish from the face of the planet. however, a group of powerful, ingeni businessman and scientist attempt to learn from past transform incurs and push the boundari of technolog beyond what they can control - all while an ancient, power transform menac set earth in hi cross-hairs. scienc fiction action adventur sequel alien transform giant robot robot imax transform robot mark wahlberg stanley tucci kelsey grammer michael bay"
37,68728,Oz: The Great and Powerful,"oscar diggs, a small-tim circu illusionist and con-artist, is whisk from kansa to the land of oz where the inhabit assum he' the great wizard of prophecy, there to save oz from the clutch of evil. fantasi adventur famili circu witch magic hope illus lost magic trick wizard 3d jame franco mila kuni rachel weisz sam raimi"
38,102382,The Amazing Spider-Man 2,"for peter parker, life is busy. between take out the bad guy as spider-man and spend time with the person he loves, gwen stacy, high school graduat cannot come quickli enough. peter ha not forgotten about the promis he made to gwen’ father to protect her by stay away, but that is a promis he cannot keep. thing will chang for peter when a new villain, electro, emerges, an old friend, harri osborn, returns, and peter uncov new clue about hi past. action adventur fantasi obsess marvel comic sequel base on comic book electrocut medic experi electr super power andrew garfield emma stone jami foxx marc webb"
39,20526,TRON: Legacy,"sam flynn, the tech-savvi and dare son of kevin flynn, investig hi father' disappear and is pull into the grid. with the help of a mysteri program name quorra, sam quest to stop evil dictat clu from cross into the real world. adventur action scienc fiction artifici intellig secret ident comput program dystopia comput decept duel motorcycl neon light autocraci garrett hedlund jeff bridg olivia wild joseph kosinski"
40,49013,Cars 2,star race car lightn mcqueen and hi pal mater head oversea to compet in the world grand prix race. but the road to the championship becom rocki as mater get caught up in an intrigu adventur of hi own: intern espionage. anim famili adventur comedi car race sequel comedi anthropomorph best friend duringcreditssting owen wilson larri the cabl guy michael cain john lasset
41,44912,Green Lantern,"for centuries, a small but power forc of warrior call the green lantern corp ha sworn to keep intergalact order. each green lantern wear a ring that grant him superpowers. but when a new enemi call parallax threaten to destroy the balanc of power in the universe, their fate and the fate of earth lie in the hand of the first human ever recruited. adventur action thriller scienc fiction dc comic transform superhero alien alien infect magic object protector super power origin 3d ryan reynold blake live peter sarsgaard martin campbel"
42,10193,Toy Story 3,"woody, buzz, and the rest of andy' toy haven't been play with in years. with andi about to go to college, the gang find themselv accident left at a nefari day care center. the toy must band togeth to escap and return home to andy. anim famili comedi hostag colleg toy barbi anim escap day care teddi bear duringcreditssting toy come to life personif inanim object come to life toy stori tom hank tim allen ned beatti lee unkrich"
43,534,Terminator Salvation,"all grown up in post-apocalypt 2018, john connor must lead the resist of human against the increasingli domin militarist robots. but when marcu wright appears, hi exist confus the mission as connor tri to determin whether wright ha come from the futur or the past -- and whether he' friend or foe. action scienc fiction thriller save the world artifici intellig propheci san francisco cyborg killer robot ga station post-apocalypt dystopia armi firearm wartim lo angel christian bale sam worthington anton yelchin mcg"
44,168259,Furious 7,deckard shaw seek reveng against domin toretto and hi famili for hi comatos brother. action car race speed reveng suspens car race muscl car vin diesel paul walker dwayn johnson jame wan
45,72190,World War Z,"life for former unit nation investig gerri lane and hi famili seem content. suddenly, the world is plagu by a mysteri infect turn whole human popul into rampag mindless zombies. after bare escap the chaos, lane is persuad to go on a mission to investig thi disease. what follow is a peril trek around the world where lane must brave horrif danger and long odd to find answer befor human civil falls. action drama horror scienc fiction thriller dystopia apocalyps zombi nuclear weapon multipl perspect zombi apocalyps brad pitt mireil eno abigail hargrov marc forster"
46,127585,X-Men: Days of Future Past,the ultim x-men ensembl fight a war for the surviv of the speci across two time period as they join forc with their younger selv in an epic battl that must chang the past – to save our future. action adventur fantasi scienc fiction 1970 mutant time travel marvel comic base on comic book superhuman storm beast aftercreditssting chang the past or futur hugh jackman jame mcavoy michael fassbend bryan singer
47,54138,Star Trek Into Darkness,"when the crew of the enterpris is call back home, they find an unstopp forc of terror from within their own organ ha deton the fleet and everyth it stand for, leav our world in a state of crisis. with a person score to settle, captain kirk lead a manhunt to a war-zon world to captur a one man weapon of mass destruction. as our hero are propel into an epic chess game of life and death, love will be challenged, friendship will be torn apart, and sacrific must be made for the onli famili kirk ha left: hi crew. action adventur scienc fiction spacecraft friendship sequel futurist space alien imax space opera terrorist bomb 3d chri pine zachari quinto zoe saldana j.j. abram"
48,81005,Jack the Giant Slayer,"the stori of an ancient war that is reignit when a young farmhand unwittingli open a gateway between our world and a fearsom race of giants. unleash on the earth for the first time in centuries, the giant strive to reclaim the land they onc lost, forc the young man, jack into the battl of hi life to stop them. fight for a kingdom, it people, and the love of a brave princess, he come face to face with the unstopp warrior he thought onli exist in legend–and get the chanc to becom a legend himself. action famili fantasi base on fairi tale giant nichola hoult eleanor tomlinson ewan mcgregor bryan singer"
49,64682,The Great Gatsby,"an adapt of f. scott fitzgerald' long island-set novel, where midwestern nick carraway is lure into the lavish world of hi neighbor, jay gatsby. soon enough, however, carraway will see through the crack of gatsby' nouveau rich existence, where obsession, madness, and tragedi await. drama romanc base on novel infidel obsess hope 3d leonardo dicaprio tobey maguir carey mulligan baz luhrmann"
50,9543,Prince of Persia: The Sands of Time,"a rogu princ reluctantli join forc with a mysteri princess and together, they race against dark forc to safeguard an ancient dagger capabl of releas the sand of time – gift from the god that can revers time and allow it possessor to rule the world. adventur fantasi action romanc persia sandstorm brother against brother armageddon regent base on video game jake gyllenha gemma arterton ben kingsley mike newel"
51,68726,Pacific Rim,"when legion of monstrou creatures, known as kaiju, start rise from the sea, a war began that would take million of live and consum humanity' resourc for year on end. to combat the giant kaiju, a special type of weapon wa devised: massiv robots, call jaegers, which are control simultan by two pilot whose mind are lock in a neural bridge. but even the jaeger are prove nearli defenseless in the face of the relentless kaiju. on the verg of defeat, the forc defend mankind have no choic but to turn to two unlik heroes—a washed-up former pilot (charli hunnam) and an untest traine (rinko kikuchi)—who are team to drive a legendari but seemingli obsolet jaeger from the past. together, they stand as mankind' last hope against the mount apocalypse. action scienc fiction adventur dystopia giant robot giant monster apocalyps imax duringcreditssting 3d idri elba charli hunnam charli day guillermo del toro"
52,38356,Transformers: Dark of the Moon,"sam witwicki take hi first tenuou step into adulthood while remain a reluct human alli of autobot-lead optimu prime. the film center around the space race between the ussr and the usa, suggest there wa a hidden transform role in it all that remain one of the planet' most danger secrets. action scienc fiction adventur moon spacecraft traitor bodyguard alien planet base on cartoon transform giant robot sabotag word domin commando duringcreditssting shia labeouf john malkovich ken jeong michael bay"
53,217,Indiana Jones and the Kingdom of the Crystal Skull,"set dure the cold war, the soviet – led by sword-wield irina spalko – are in search of a crystal skull which ha supernatur power relat to a mystic lost citi of gold. after be captur and then escap from them, indi is coerc to head to peru at the behest of a young man whose friend – and indy' colleagu – professor oxley ha been captur for hi knowledg of the skull' whereabouts. adventur action save the world riddl whip treasur mexico citi leather jacket machinegun alien phenomenon maya civil peru treasur hunt nuclear explos refriger archaeologist indiana jone archeolog harrison ford cate blanchett shia labeouf steven spielberg"
54,105864,The Good Dinosaur,an epic journey into the world of dinosaur where an apatosauru name arlo make an unlik human friend. adventur anim famili tyrannosauru rex friend altern histori dinosaur fear storm natur human journey raymond ochoa jack bright jeffrey wright peter sohn
55,62177,Brave,"brave is set in the mystic scottish highlands, where mérida is the princess of a kingdom rule by king fergu and queen elinor. an unruli daughter and an accomplish archer, mérida one day defi a sacr custom of the land and inadvert bring turmoil to the kingdom. in an attempt to set thing right, mérida seek out an eccentr old wise woman and is grant an ill-fat wish. also figur into mérida’ quest — and serv as comic relief — are the kingdom’ three lords: the enorm lord macguffin, the surli lord macintosh, and the disagre lord dingwall. anim adventur comedi famili action fantasi scotland rebel braveri kingdom archer wish bear scot rebelli daughter turn into anim archeri ruin aftercreditssting peac offer woman director courag 3d kelli macdonald juli walter billi connolli brenda chapman"
56,188927,Star Trek Beyond,"the uss enterpris crew explor the furthest reach of unchart space, where they encount a mysteri new enemi who put them and everyth the feder stand for to the test. action adventur scienc fiction sequel strand hatr space opera chri pine zachari quinto karl urban justin lin"
57,10681,WALL·E,"wall· is the last robot left on an earth that ha been overrun with garbag and all human have fled to outer space. for 700 year he ha continu to tri and clean up the mess, but ha develop some rather interest human-lik qualities. when a ship arriv with a sleek new type of robot, wall· think he' final found a friend and stow away on the ship when it leaves. anim famili romant comedi ben burtt elissa knight jeff garlin andrew stanton"
58,5174,Rush Hour 3,"after an attempt assassin on ambassador han, inspector lee and detect carter are back in action as they head to pari to protect a french woman with knowledg of the triads' secret leaders. lee also hold secret meet with a unit nation authority, but hi person struggl with a chines crimin mastermind name kenji, which reveal that it' lee' long-lost...brother. action comedi crime thriller ambassador chri tucker jacki chan hiroyuki sanada brett ratner"
59,14161,2012,"dr. adrian helmsley, part of a worldwid geophys team investig the effect on the earth of radiat from unpreced solar storms, learn that the earth' core is heat up. he warn u.s. presid thoma wilson that the crust of the earth is becom unstabl and that without proper prepar for save a fraction of the world' population, the entir race is doomed. meanwhile, writer jackson curti stumbl on the same information. while the world' leader race to build ""arks"" to escap the impend cataclysm, curti struggl to find a way to save hi family. meanwhile, volcan erupt and earthquak of unpreced strength wreak havoc around the world. action adventur scienc fiction civil natur disast end of the world disast apocalyps destruct volcan erupt mayan ark solar destruct of mankind john cusack amanda peet chiwetel ejiofor roland emmerich"
60,17979,A Christmas Carol,"miser ebenez scroog is awaken on christma eve by spirit who reveal to him hi own miser existence, what opportun he wast in hi youth, hi current cruelties, and the dire fate that await him if he doe not chang hi ways. scroog is face with hi own stori of grow bitter and meanness, and must decid what hi own futur will hold: death or redemption. anim drama holiday base on novel victorian england money christma eve scroog christma carol ghost lesson charl dicken christma gari oldman jim carrey steve valentin robert zemecki"
61,76757,Jupiter Ascending,"in a univers where human genet materi is the most preciou commodity, an impoverish young earth woman becom the key to strateg maneuv and intern strife within a power dynasty… scienc fiction fantasi action adventur jupit space woman director 3d interspeci romanc mila kuni chan tatum sean bean lilli wachowski"
62,258489,The Legend of Tarzan,"tarzan, have acclim to life in london, is call back to hi former home in the jungl to investig the activ at a mine encampment. action adventur africa feral child tarzan jungl anim attack alexand skarsgård margot robbi christoph waltz david yate"
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","sibl lucy, edmund, susan and peter step through a magic wardrob and find the land of narnia. there, the they discov a charming, onc peac kingdom that ha been plung into etern winter by the evil white witch, jadis. aid by the wise and magnific lion, aslan, the children lead narnia into a spectacular, climact battl to be free of the witch' glacial power forever. adventur famili fantasi save the world witch base on novel brother sister relationship self sacrific winter cupboard beaver lion fairy-tal figur battl narnia fantasi world duringcreditssting william moseley anna popplewel skandar keyn andrew adamson"
64,246655,X-Men: Apocalypse,"after the re-emerg of the world' first mutant, world-destroy apocalypse, the x-men must unit to defeat hi extinct level plan. scienc fiction mutant supernatur power marvel comic superhero base on comic book superhuman apocalyps superhero team world domin aftercreditssting 1980 jame mcavoy michael fassbend jennif lawrenc bryan singer"
65,155,The Dark Knight,"batman rais the stake in hi war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman set out to dismantl the remain crimin organ that plagu the streets. the partnership prove to be effective, but they soon find themselv prey to a reign of chao unleash by a rise crimin mastermind known to the terrifi citizen of gotham as the joker. drama action crime thriller dc comic crime fighter secret ident scarecrow sadism chao gotham citi vigilant joker superhero base on comic book tragic hero organ crime crimin mastermind district attorney imax super villain super power batman christian bale heath ledger aaron eckhart christoph nolan"
66,14160,Up,"carl fredricksen spent hi entir life dream of explor the globe and experienc life to it fullest. but at age 78, life seem to have pass him by, until a twist of fate (and a persist 8-year old wilder explor name russell) give him a new leas on life. anim comedi famili adventur age differ central and south america balloon anim float in the air duringcreditssting explor ed asner christoph plummer jordan nagai pete docter"
67,15512,Monsters vs Aliens,"when susan murphi is unwittingli clobber by a meteor full of outer space gunk on her wed day, she mysteri grow to 49-feet-11-inches. the militari jump into action and captur susan, secret her away to a covert govern compound. she is renam ginormica and place in confin with a ragtag group of monsters... anim famili adventur scienc fiction alien giant robot duringcreditssting seth rogen rees witherspoon hugh lauri conrad vernon"
68,1726,Iron Man,"after be held captiv in an afghan cave, billionair engin toni stark creat a uniqu weapon suit of armor to fight evil. action scienc fiction adventur middl east arm dealer malibu marvel comic superhero base on comic book toni stark iron man aftercreditssting marvel cinemat univers counter terror agent coulson robert downey jr. terrenc howard jeff bridg jon favreau"
69,44826,Hugo,"hugo is an orphan boy live in the wall of a train station in 1930 paris. he learn to fix clock and other gadget from hi father and uncl which he put to use keep the train station clock running. the onli thing that he ha left that connect him to hi dead father is an automaton (mechan man) that doesn't work without a special key which hugo need to find to unlock the secret he believ it contains. on hi adventures, he meet with a shopkeeper, georg melies, who work in the train station and hi adventure-seek god-daughter. hugo find that they have a surpris connect to hi father and the automaton, and he discov it unlock some memori the old man ha buri insid regard hi past. adventur drama famili librari clock film director key toy boy love orphan robot automaton hide filmmak leg brace doberman 3d ben kingsley sacha baron cohen asa butterfield martin scorses"
70,8487,Wild Wild West,legless southern inventor dr. arliss loveless plan to rekindl the civil war by assassin presid u.s. grant. onli two men can stop him: gunfight jame west and master-of-disguis and inventor artemu gordon. the two must team up to thwart loveless' plans. action adventur comedi scienc fiction western steampunk base on tv seri steam locomot drag will smith kevin kline kenneth branagh barri sonnenfeld
